timecost:0.35, lr:2.1613635589349812e-05, epoch:264, train_loss:0.0200, train_acc:100.00
timecost:0.36, lr:2.04459732799315e-05, epoch:265, train_loss:0.0214, train_acc:100.00
timecost:0.35, lr:1.9309388911139425e-05, epoch:266, train_loss:0.0162, train_acc:100.00
timecost:0.35, lr:1.8204036358303172e-05, epoch:267, train_loss:0.0138, train_acc:100.00
timecost:0.35, lr:1.7130065268464445e-05, epoch:268, train_loss:0.0144, train_acc:100.00
timecost:0.35, lr:1.6087621040117184e-05, epoch:269, train_loss:0.0130, train_acc:100.00
timecost:0.35, lr:1.5076844803522921e-05, epoch:270, train_loss:0.0137, train_acc:100.00
timecost:0.35, lr:1.4097873401604094e-05, epoch:271, train_loss:0.0162, train_acc:100.00
timecost:0.35, lr:1.3150839371417672e-05, epoch:272, train_loss:0.0132, train_acc:100.00
timecost:0.35, lr:1.2235870926211617e-05, epoch:273, train_loss:0.0120, train_acc:100.00
timecost:0.36, lr:1.1353091938067022e-05, epoch:274, train_loss:0.0119, train_acc:100.00
timecost:0.36, lr:1.0502621921127775e-05, epoch:275, train_loss:0.0124, train_acc:100.00
timecost:0.36, lr:9.684576015420277e-06, epoch:276, train_loss:0.0152, train_acc:100.00
timecost:0.35, lr:8.899064971265275e-06, epoch:277, train_loss:0.0144, train_acc:100.00
timecost:0.35, lr:8.146195134284051e-06, epoch:278, train_loss:0.0146, train_acc:100.00
timecost:0.35, lr:7.42606843100091e-06, epoch:279, train_loss:0.0141, train_acc:100.00
timecost:0.35, lr:6.7387823550440485e-06, epoch:280, train_loss:0.0133, train_acc:100.00
timecost:0.35, lr:6.084429953946424e-06, epoch:281, train_loss:0.0129, train_acc:100.00
timecost:0.36, lr:5.463099816548578e-06, epoch:282, train_loss:0.0133, train_acc:100.00
timecost:0.35, lr:5e-06, epoch:283, train_loss:0.0127, train_acc:100.00
timecost:0.35, lr:5e-06, epoch:284, train_loss:0.0127, train_acc:100.00
timecost:0.35, lr:5e-06, epoch:285, train_loss:0.0122, train_acc:100.00
timecost:0.35, lr:5e-06, epoch:286, train_loss:0.0117, train_acc:100.00
timecost:0.35, lr:5e-06, epoch:287, train_loss:0.0123, train_acc:100.00
timecost:0.35, lr:5e-06, epoch:288, train_loss:0.0115, train_acc:100.00
timecost:0.35, lr:5e-06, epoch:289, train_loss:0.0114, train_acc:100.00
timecost:0.35, lr:5e-06, epoch:290, train_loss:0.0113, train_acc:100.00
timecost:0.35, lr:5e-06, epoch:291, train_loss:0.0121, train_acc:100.00
